Question,Answer
Who acted as Brian Wilson - Future in the movie 'Love & Mercy'?,John Cusack
Who acted as Capt. Bartholomew Clark in the movie 'Bat*21'?,Danny Glover
Who acted as Jimmy in the movie 'Lesbian Vampire Killers'?,Mathew Horne
Who acted as Captain Kevin Burke in the movie 'Universal Soldier: Regeneration'?,Mike Pyle
Who acted as Amber in the movie 'The Other Woman'?,Kate Upton
Who acted as Gretchen in the movie 'Reeker'?,Tina Illman
Who acted as Mallory Grace in the movie 'The Spiderwick Chronicles'?,Sarah Bolger
Who acted as Harve Poole in the movie 'Electra Glide in Blue'?,Mitchell Ryan
Who acted as Mia Farrow in the movie 'Intruders'?,Ella Purnell
Who acted as Achim in the movie 'Lammbock'?,Julian Weigend
Who acted as Beth in the movie 'Coherence'?,Elizabeth Gracen
Who acted as Himself in the movie 'Jackass 3.5'?,Ryan Dunn
Who acted as Annie James in the movie 'The Motel Life'?,Dakota Fanning
Who acted as Francine in the movie 'Faces in the Crowd'?,Sarah Wayne Callies
Who acted as Horace in the movie 'The Apostle'?,Todd Allen
Who acted as Master Chao Chi-Chih in the movie 'Snake in the Eagle's Shadow'?,Fung Hak-On
Who acted as Lady Constance Chatterley in the movie 'Lady Chatterley's Lover'?,Sylvia Kristel
Who acted as Harper Burke in the movie 'Things We Lost in the Fire'?,Alexis Llewellyn
Who acted as Louanne Johnson in the movie 'Dangerous Minds'?,Michelle Pfeiffer
Who acted as Culley in the movie 'Assassination Games'?,Kevin Chapman
Who acted as Ron Launius in the movie 'Wonderland'?,Josh Lucas
Who acted as Jerry Bruckner in the movie 'The Evening Star'?,Bill Paxton
Who acted as Caesar in the movie 'Rise of the Planet of the Apes'?,Andy Serkis
Who acted as Tobin Frost in the movie 'Safe House'?,Denzel Washington
Who acted as Agent FBI Chuck Stupak in the movie 'Mr. Magoo'?,Stephen Tobolowsky
Who acted as Dominic Foy in the movie 'State of Play'?,Jason Bateman
Who acted as Cogliostro in the movie 'Spawn'?,Nicol Williamson
Who acted as Mel in the movie 'Siberian Education'?,Jonas Trukanas
Who acted as Ken Castle in the movie 'Gamer'?,Michael C. Hall
Who acted as Jeff Slater in the movie 'Tootsie'?,Bill Murray
Who acted as Nurse in the movie 'Playing God'?,Stacey Travis
Who acted as Frank in the movie 'Billy Madison'?,Norm Macdonald
Who acted as Eric Endicott in the movie 'In the Heat of the Night'?,Larry Gates
Who acted as Jim Hill in the movie 'Humanoids from the Deep'?,Doug McClure
Who acted as Lena Leonard in the movie 'Punch-Drunk Love'?,Emily Watson
Who acted as La mère de Paul in the movie 'Eden'?,Arsinée Khanjian
Who acted as Major Li in the movie 'The Flowers of War'?,Tong Dawei
Who acted as Trevor in the movie 'Peaceful Warrior'?,Paul Wesley
Who acted as  in the movie 'Hara-Kiri: Death of a Samurai'?,Kazuki Namioka
Who acted as Hidayet in the movie 'Winter Sleep'?,Ayberk Pekcan
Who acted as Christopher Isherwood in the movie 'Christopher and His Kind'?,Matt Smith
Who acted as Goku in the movie 'Dragonball Evolution'?,Justin Chatwin
Who acted as Nadine in the movie 'Free Willy 2 - The Adventure Home'?,Mary Kate Schellhardt
Who acted as Dean Pereira in the movie 'Blue Valentine'?,Ryan Gosling
Who acted as Robert Philip in the movie 'Enchanted'?,Patrick Dempsey
Who acted as Frank Dunne in the movie 'Gallipoli'?,Mel Gibson
Who acted as Ballerina in the movie 'God Help the Girl'?,Sarah Swire
Who acted as Detective Fanning in the movie 'Collateral'?,Mark Ruffalo
Who acted as Cole in the movie 'All the Pretty Horses'?,Robert Patrick
Who acted as Captain Frank Castellano in the movie 'Captain Phillips'?,Yul Vazquez
Who acted as Mez Smith in the movie 'A Boy and His Dog'?,Helene Winston
Who acted as Dick Hallorann in the movie 'The Shining'?,Scatman Crothers
Who acted as Molly Reins in the movie 'Brake'?,Chyler Leigh
Who acted as Cheyenne in the movie 'The Crush'?,Amber Benson
Who acted as Helen Tasker in the movie 'True Lies'?,Jamie Lee Curtis
Who acted as Mrs. Weston in the movie 'Emma'?,Greta Scacchi
Who acted as Mathayus in the movie 'The Scorpion King'?,Dwayne Johnson
Who acted as Lt. Macgruder in the movie 'Riders'?,Bruce Payne
Who acted as Ree Dolly in the movie 'Winter's Bone'?,Jennifer Lawrence
Who acted as Ellie in the movie 'Bad Grandpa'?,Catherine Keener
Who acted as Sgt. Eugene Tackleberry in the movie 'Police Academy 3: Back in Training'?,David Graf
Who acted as Velma Von Tussle in the movie 'Hairspray'?,Deborah Harry
Who acted as Little Eve in the movie 'Moon'?,Rosie Shaw
Who acted as Jonathan Corliss in the movie 'A Kiss Before Dying'?,Matt Dillon
Who acted as Claudia Villars in the movie 'K-PAX'?,Alfre Woodard
Who acted as Alice in the movie '28 Weeks Later'?,Catherine McCormack
Who acted as Lebel in the movie 'The Day of the Jackal'?,Michael Lonsdale
Who acted as Shige Kaneko in the movie 'Tokyo Story'?,Haruko Sugimura
Who acted as Dr. Peter Reed in the movie 'Neverwas'?,William Hurt
Who acted as Brett in the movie 'Maximum Overdrive'?,Laura Harrington
Who acted as Lenny in the movie 'Auto Focus'?,Ron Leibman
Who acted as Dr. Stafford Weiss in the movie 'Maps to the Stars'?,John Cusack
Who acted as Jack in the movie 'The Magnificent Ambersons'?,Ray Collins
Who acted as Clive Connelly in the movie 'Direct Contact'?,Michael Paré
Who acted as Hooker #1 in the movie 'The Punisher: Dirty Laundry'?,Shannon Collis
Who acted as Vincent Campbell in the movie 'The Last Days on Mars'?,Liev Schreiber
Who acted as Ragnhild in the movie 'Ragnarok'?,Maria Annette Tanderød Berglyd
Who acted as Ernesto in the movie 'Manual of Love 2'?,Carlo Verdone
Who acted as Annie Robicheaux in the movie 'Heaven's Prisoners'?,Kelly Lynch
Who acted as Vinnie Fountain in the movie 'Cop and ½'?,Ray Sharkey
Who acted as Steena Paulsson in the movie 'The Human Stain'?,Jacinda Barrett
Who acted as Transvest in the movie 'Frankenstein and the Monster from Hell'?,Michael Ward
Who acted as Dr. Whitby in the movie 'Superhero Movie'?,Jeffrey Tambor
Who acted as Alan in the movie 'White Water Summer'?,Sean Astin
Who acted as Benoît in the movie 'Safari'?,Lionel Abelanski
Who acted as Junge in the movie 'Stranger Than Fiction'?,Ricky Adams
Who acted as Puck in the movie 'A Midsummer Night's Dream'?,Stanley Tucci
Who acted as Anna in the movie '360'?,Gabriela Marcinková
Who acted as Paddy Button in the movie 'The Blue Lagoon'?,Leo McKern
Who acted as Agent Lacey in the movie 'The Interview'?,Lizzy Caplan
Who acted as Dietrich Banning in the movie 'The Tuxedo'?,Ritchie Coster
Who acted as Charlie in the movie 'Being John Malkovich'?,Charlie Sheen
Who acted as Moloojoon in the movie 'Rosewater'?,Shohreh Aghdashloo
Who acted as Bee in the movie 'Emmanuelle'?,Marika Green
Who acted as Vince in the movie 'My Fake Fiance'?,Joey Lawrence
Who acted as Phillip in the movie 'In Your Eyes'?,Mark Feuerstein
Who acted as Buck Gardner in the movie 'Piranha'?,Dick Miller
Who acted as Roger Perron in the movie 'The Conjuring'?,Ron Livingston
Who acted as Jess in the movie 'When Harry Met Sally...'?,Bruno Kirby
"Who acted as Gabrielle de Polignac in the movie 'Farewell, My Queen'?",Virginie Ledoyen
Who acted as Xiao Wei in the movie 'Police Story 2013'?,Guli Nazha
Who acted as Sun Guiqin in the movie 'Assembly'?,Tiffany Tang
Who acted as Berdyev in the movie 'White Tiger'?,Vitaliy Dordzhiev
Who acted as Richard Dacier in the movie 'Safari'?,Kad Merad
Who acted as Carrigan Burke in the movie 'Poltergeist'?,Jared Harris
Who acted as Stephen in the movie 'The Passenger'?,Steven Berkoff
Who acted as Hammer in the movie '1990: The Bronx Warriors'?,Vic Morrow
Who acted as Doris in the movie 'Peacock'?,Virginia Newcomb
Who acted as Louis Sweetzer in the movie 'The Last Exorcism'?,Louis Herthum
Who acted as Off. Sam Wood in the movie 'In the Heat of the Night'?,Warren Oates
Who acted as Allison in the movie 'The Remaining'?,Italia Ricci
Who acted as Melissa in the movie 'Limitless'?,Anna Friel
Who acted as Old Zeus in the movie 'Immortals'?,John Hurt
Who acted as Ginger Kingsley in the movie 'The Banger Sisters'?,Eva Amurri Martino
Who acted as Charlie in the movie 'Arachnoquake'?,Edward Furlong
Who acted as Principal Buchanon in the movie 'The DUFF'?,Romany Malco
Who acted as Griffin in the movie 'Angels Sing'?,Lyle Lovett
Who acted as Staatsanwalt Otto Haller in the movie 'Labyrinth of Lies'?,Johann von Bülow
Who acted as Butler in the movie 'The Man with Two Brains'?,Paul Benedict
Who acted as Kathy Morningside in the movie 'Miss Congeniality'?,Candice Bergen
Who acted as Mr. Pink in the movie 'Reservoir Dogs'?,Steve Buscemi
Who acted as Walter Peoples in the movie 'The Tuskegee Airmen'?,Allen Payne
Who acted as Cmd. Edward Plank in the movie 'Zenon: Girl of the 21st Century'?,Stuart Pankin
Who acted as Dr. Rachel in the movie 'Intruders'?,Kerry Fox
Who acted as Dracula in the movie 'Dracula 2000'?,Gerard Butler
Who acted as Zeke Hawkins in the movie 'Sliver'?,William Baldwin
Who acted as Himself in the movie 'Jackass Number Two'?,Dave England
Who acted as Albert T. Fitzgerald in the movie 'The United States of Leland'?,Kevin Spacey
Who acted as Johnnie Marzzone in the movie 'Bound'?,Christopher Meloni
Who acted as Ingrid Lubanski in the movie 'The Miracle of Bern'?,Birthe Wolter
Who acted as Chad Palomino in the movie 'Living in Oblivion'?,James Le Gros
Who acted as Jeff in the movie 'Frankenfish'?,Tomas Arana
Who acted as Jack in the movie 'Kickboxer 2:  The Road Back'?,John Diehl
Who acted as Professor Kenneth Raines in the movie 'Regression'?,David Thewlis
Who acted as Freddy Krueger in the movie 'A Nightmare on Elm Street 3: Dream Warriors'?,Robert Englund
Who acted as Esugei in the movie 'Mongol: The Rise of Genghis Khan'?,Ba Sen
Who acted as Father Lavelle in the movie 'The Body'?,Derek Jacobi
Who acted as Leo Demidov in the movie 'Child 44'?,Tom Hardy
Who acted as Domastir in the movie 'BloodRayne'?,Will Sanderson
Who acted as Roland in the movie 'Jumper'?,Samuel L. Jackson
Who acted as Pvt. Charlie Soda in the movie 'Starship Troopers 2: Hero of the Federation'?,Kelly Carlson
Who acted as Brett in the movie 'Delivery Man'?,Chris Pratt
Who acted as Johanna in the movie 'Dark Circles'?,Andrea Frankle
Who acted as Stephen Schumacher in the movie 'Disconnect'?,Michael Nyqvist
Who acted as Molly in the movie 'Idle Hands'?,Jessica Alba
Who acted as Col. Joshua Chamberlain in the movie 'Gettysburg'?,Jeff Daniels
Who acted as Sherry in the movie 'Rogue'?,Mia Wasikowska
Who acted as Richie in the movie 'The Benchwarmers'?,David Spade
Who acted as Jeff Matthews in the movie 'Pet Sematary II'?,Edward Furlong
Who acted as Audrey in the movie 'Gung Ho'?,Mimi Rogers
Who acted as Henri Alan Tremont in the movie 'Private Benjamin'?,Armand Assante
Who acted as Natalie Connors in the movie 'Agent Cody Banks'?,Hilary Duff
Who acted as Anton Depeux in the movie 'Addicted to Love'?,Tchéky Karyo
Who acted as Lainie Diamond in the movie 'Dream a Little Dream'?,Meredith Salenger
Who acted as Larry Gigli in the movie 'Gigli'?,Ben Affleck
Who acted as Josh in the movie 'About Alex'?,Max Greenfield
Who acted as Mme Quentin in the movie 'Au Revoir les Enfants'?,Francine Racette
Who acted as Richard in the movie 'The Blue Lagoon'?,Christopher Atkins
Who acted as Magic Mike in the movie 'Bound by Honor'?,Victor Rivers
Who acted as Sarah in the movie 'Parts Per Billion'?,Alexis Bledel
Who acted as Jimmy Garrett in the movie 'Project X'?,Matthew Broderick
Who acted as Wells in the movie 'Assault on Precinct 13'?,Tony Burton
Who acted as Tony Pastula in the movie 'Against the Sun'?,Tom Felton
Who acted as Paul Budiansky in the movie 'Punisher: War Zone'?,Colin Salmon
Who acted as Müller in the movie 'Despair'?,Peter Kern
Who acted as Capt. Davies in the movie 'Island of Lost Souls'?,Stanley Fields
Who acted as Carter / Cain / Dr. Nix / Josh / Margo in the movie 'Raising Cain'?,John Lithgow
Who acted as  in the movie 'Help! I'm A Fish'?,Morten Kern Nielsen
Who acted as Linda Styles in the movie 'In the Mouth of Madness'?,Julie Carmen
Who acted as Luke Jackson in the movie 'Cool Hand Luke'?,Paul Newman
Who acted as Laura Danner in the movie 'Rails & Ties'?,Bonnie Root
Who acted as Otto Keller in the movie 'I Confess'?,O.E. Hasse
Who acted as Santino in the movie 'Deliver Us from Evil'?,Sean Harris
Who acted as Eleanor Fine in the movie 'Far from Heaven'?,Patricia Clarkson
Who acted as Dick Dodge in the movie 'The Distinguished Gentleman'?,Lane Smith
Who acted as Beryl Thibodeaux in the movie 'Tightrope'?,Geneviève Bujold
Who acted as Anna Cameron in the movie 'Closer'?,Julia Roberts
Who acted as Herself in the movie 'Super High Me'?,Sarah Silverman
Who acted as Nicola in the movie 'Manual of Love 2'?,Riccardo Scamarcio
Who acted as Michiel de Ruyter in the movie 'Admiral'?,Frank Lammers
Who acted as Babalugats in the movie 'Cool Hand Luke'?,Dennis Hopper
Who acted as Bilig in the movie 'Wolf Totem'?,Ba Sen Zha Bu
Who acted as Rawdon Crawley in the movie 'Vanity Fair'?,James Purefoy
Who acted as Azeem in the movie 'Robin Hood: Prince of Thieves'?,Morgan Freeman
Who acted as Will Montgomery in the movie 'Stolen'?,Nicolas Cage
Who acted as Pamela McFadden in the movie 'Phone Booth'?,Katie Holmes
Who acted as Sherri in the movie 'The Oh in Ohio'?,Miranda Bailey
Who acted as Capt. Jerome in the movie 'The Wind and the Lion'?,Steve Kanaly
Who acted as Arthur Stuart in the movie 'Velvet Goldmine'?,Christian Bale
Who acted as Garrett Tully in the movie 'Supremacy'?,Joe Anderson
Who acted as Felix Ramirez in the movie 'Collateral Damage'?,John Leguizamo
Who acted as Lilly Bertineau in the movie 'Taxi'?,Marion Cotillard
Who acted as Slick in the movie 'Hobo with a Shotgun'?,Gregory Smith
Who acted as Chloe in the movie 'The Last Witch Hunter'?,Rose Leslie
Who acted as Amber in the movie 'Paranormal Activity'?,Amber Armstrong
Who acted as Drew Decker in the movie 'Scary Movie'?,Carmen Electra
Who acted as Mui in the movie 'Shaolin Soccer'?,Zhao Wei
Who acted as Robert Langdon in the movie 'Angels & Demons'?,Tom Hanks
Who acted as Betts in the movie 'Shivers'?,Barbara Steele
Who acted as Annie Leprince Ringuet in the movie 'Populaire'?,Mélanie Bernier
Who acted as Tommy Kane in the movie 'Alex Cross'?,Edward Burns
Who acted as Red Leary in the movie 'Thunderbolt and Lightfoot'?,George Kennedy
Who acted as Dr. Ethan Powell in the movie 'Instinct'?,Anthony Hopkins
Who acted as George Lytton in the movie 'Curse of the Pink Panther'?,Robert Wagner
Who acted as Jacqueline Kennedy in the movie 'Killing Kennedy'?,Ginnifer Goodwin
Who acted as Paula Trent in the movie 'Plan 9 from Outer Space'?,Mona McKinnon
Who acted as Hélène Labrède in the movie 'Love at First Fight'?,Brigitte Roüan
Who acted as Dan in the movie 'Talk Radio'?,Alec Baldwin
Who acted as Jason Voorhees / Uber-Jason in the movie 'Jason X'?,Kane Hodder
Who acted as Mrs. Cora Hallet in the movie 'The Little Girl Who Lives Down the Lane'?,Alexis Smith
Who acted as Michael in the movie 'Repulsion'?,Ian Hendry
Who acted as Kate Collins in the movie 'Eulogy'?,Zooey Deschanel
Who acted as Denise Marshall in the movie 'Earthquake'?,Geneviève Bujold
Who acted as Leo in the movie 'House of Flying Daggers'?,Andy Lau
Who acted as Holly Stevenson in the movie 'Little Monsters'?,Margaret Whitton
Who acted as Bonnie in the movie 'My Fake Fiance'?,Diane Neal
Who acted as Father Richard Bolen in the movie 'The Amityville Horror'?,Don Stroud
Who acted as Dori Thorell in the movie 'Aftershock: Earthquake in New York'?,Sharon Lawrence
Who acted as Jack Dwyer in the movie 'No Escape'?,Owen Wilson
Who acted as Christina Walters in the movie 'The Sweetest Thing'?,Cameron Diaz
Who acted as Dustin Noble in the movie 'Promised Land'?,John Krasinski
Who acted as Ernest Hemingway in the movie 'Hemingway & Gellhorn'?,Clive Owen
Who acted as Dr. Eden Minerva in the movie 'It's Kind of a Funny Story'?,Viola Davis
Who acted as Juror 2 in the movie '12 Angry Men'?,John Fiedler
Who acted as Ben Ripley in the movie 'The Great Outdoors'?,Ian Giatti
Who acted as Corey in the movie 'Horsemen'?,Patrick Fugit
Who acted as Military trainer in the movie 'Mirror'?,Yuriy Nazarov
Who acted as Betty Mahmoody in the movie 'Not Without My Daughter'?,Sally Field
Who acted as Nick Martinez in the movie 'The Burning Plain'?,Joaquim de Almeida
Who acted as Jack in the movie '13'?,Alexander Skarsgård
Who acted as Lord Kelvin in the movie 'Around the World in 80 Days'?,Jim Broadbent
Who acted as Bruno in the movie 'Enter the Void'?,Ed Spear
Who acted as Khalid in the movie 'Rendition'?,Moa Khouas
Who acted as Topo in the movie 'Cold Comes the Night'?,Bryan Cranston
Who acted as Chris Ford in the movie 'Killing Season'?,Milo Ventimiglia
Who acted as Ray in the movie 'Secret in Their Eyes'?,Chiwetel Ejiofor
Who acted as Dr. Douglas Grey in the movie 'Gothika'?,Charles S. Dutton
Who acted as Gretel in the movie 'Hansel & Gretel: Witch Hunters'?,Gemma Arterton
Who acted as Caldwell in the movie 'Drums Along the Mohawk'?,John Carradine
Who acted as Amber in the movie 'Wrong Turn 2: Dead End'?,Daniella Alonso
Who acted as Madge Hardwick in the movie 'Top Hat'?,Helen Broderick
Who acted as Lou in the movie 'Back to School'?,Burt Young
Who acted as John Reynolds in the movie 'The Thomas Crown Affair'?,Fritz Weaver
Who acted as Song Liling in the movie 'M. Butterfly'?,John Lone
Who acted as Arthur Cotton in the movie 'The Evening Star'?,Ben Johnson
Who acted as Shannon Christie in the movie 'Far and Away'?,Nicole Kidman
Who acted as Ralph Sarchie in the movie 'Deliver Us from Evil'?,Eric Bana
Who acted as Maziar Bahari in the movie 'Rosewater'?,Gael García Bernal
Who acted as Ahmad in the movie 'The Past'?,Ali Mosaffa
Who acted as Emily Thomas in the movie 'The Guardian'?,Melissa Sagemiller
Who acted as Malcolm in the movie 'A Haunted House 2'?,Marlon Wayans
Who acted as May in the movie 'Zardoz'?,Sara Kestelman
Who acted as Billy Ray Valentine in the movie 'Trading Places'?,Eddie Murphy
Who acted as Caroline von Lengefeld in the movie 'Beloved Sisters'?,Hannah Herzsprung
Who acted as Himself in the movie 'Jackass 2.5'?,Johnny Knoxville
Who acted as Wesley - White Team Leader in the movie 'Midnight Madness'?,Eddie Deezen
Who acted as Sister Honey in the movie 'The Wicker Man'?,Leelee Sobieski
Who acted as Igraine in the movie 'The Mists of Avalon'?,Caroline Goodall
Who acted as Senzo Tanaka in the movie 'Bloodsport'?,Roy Chiao
Who acted as Gabby Zavala in the movie 'End of Watch'?,Natalie Martinez
Who acted as Lou in the movie 'Hot Tub Time Machine 2'?,Rob Corddry
Who acted as Hector Cyr in the movie 'Lake Placid'?,Oliver Platt
Who acted as Jastra Watson in the movie 'Messenger of Death'?,Trish Van Devere
Who acted as  in the movie 'The Dead Lands'?,Rena Owen
Who acted as Maria Longworth in the movie 'One-Eyed Jacks'?,Katy Jurado
Who acted as Miss Collins in the movie 'Carrie'?,Betty Buckley
Who acted as Katrina Van Tassel in the movie 'Sleepy Hollow'?,Christina Ricci
Who acted as Die Anhalterin in the movie 'Dog Days'?,Maria Hofstätter
Who acted as Hache in the movie 'I Want You'?,Mario Casas
Who acted as Friend in the movie 'Zardoz'?,John Alderton
Who acted as James Clayton in the movie 'The Recruit'?,Colin Farrell
Who acted as Jack Lansford in the movie 'Sliver'?,Tom Berenger
Who acted as Robin in the movie 'Gigli'?,Missy Crider
Who acted as Melissa Bragg in the movie 'Lymelife'?,Cynthia Nixon
Who acted as Inspector Larrue in the movie 'I Confess'?,Karl Malden
Who acted as Martha Klein in the movie 'Mostly Martha'?,Martina Gedeck
Who acted as Krampf in the movie 'Mortdecai'?,Jeff Goldblum
Who acted as Passepartout / Lau Xing in the movie 'Around the World in 80 Days'?,Jackie Chan
Who acted as Riley in the movie 'All Things To All Men'?,Toby Stephens
Who acted as Greer Childs in the movie 'She's Gotta Have It'?,John Canada Terrell
Who acted as Rachael in the movie 'The Uninvited'?,Elizabeth Banks
Who acted as Mr. House in the movie 'Rapture-Palooza'?,Rob Corddry
Who acted as Colonel Carbury in the movie 'Appointment with Death'?,John Gielgud
Who acted as Lt. John Chard R.E. in the movie 'Zulu'?,Stanley Baker
Who acted as Lindsey Jones in the movie 'License to Wed'?,Christine Taylor
Who acted as Amber in the movie 'Clueless'?,Elisa Donovan
Who acted as Glitch in the movie 'Tin Man'?,Alan Cumming
Who acted as Brooke in the movie 'Crimes of Fashion'?,Kaley Cuoco
"Who acted as Tony in the movie 'Sex, Party and Lies'?",Mario Casas
Who acted as Claire Grenich in the movie 'Infini'?,Grace Huang
Who acted as Vater in the movie 'Stations of the Cross'?,Michael Kamp
Who acted as Katie in the movie 'Paranormal Activity 3'?,Katie Featherston
Who acted as Jack Flack / Hal Osborne in the movie 'Cloak & Dagger'?,Dabney Coleman
Who acted as Dragline in the movie 'Cool Hand Luke'?,George Kennedy
Who acted as Suzie in the movie 'Lovely Molly'?,Brenna McDonough
Who acted as Maggie Terrell in the movie 'The Day of the Dolphin'?,Trish Van Devere
Who acted as Liesl in the movie 'The Sound of Music'?,Charmian Carr
Who acted as Direktor in the movie 'Mirror'?,Nikolay Grinko
Who acted as Dr. Arlo Penner in the movie 'Control'?,Stephen Rea
Who acted as Bates in the movie 'Top Hat'?,Eric Blore
Who acted as Nick in the movie 'Nick and Norah's Infinite Playlist'?,Michael Cera
Who acted as Zoé in the movie 'Dragon Hunters'?,Marie Drion
Who acted as Auggie Wren in the movie 'Blue in the Face'?,Harvey Keitel
Who acted as Simone Daniels in the movie 'Prom'?,Danielle Campbell
Who acted as Dogati in the movie 'King Solomon's Mines'?,John Rhys-Davies
Who acted as Detective Sergeant Tom Brant in the movie 'Blitz'?,Jason Statham
Who acted as King Leonidas in the movie 'The 300 Spartans'?,Richard Egan
Who acted as Bennie Wilson in the movie 'Harlem Nights'?,Redd Foxx
Who acted as Oleg Butraskaya in the movie 'Quicksand'?,Rade Serbedzija
Who acted as Omar in the movie 'Four Lions'?,Riz Ahmed
Who acted as Randall Bragg in the movie 'Appaloosa'?,Jeremy Irons
Who acted as Ellie Graham in the movie 'Runaway Bride'?,Rita Wilson
Who acted as Morris Bliss in the movie 'The Trouble with Bliss'?,Michael C. Hall
Who acted as Einar Wegener / Lili Elbe in the movie 'The Danish Girl'?,Eddie Redmayne
Who acted as Jennifer in the movie 'My Fake Fiance'?,Melissa Joan Hart
Who acted as Shelly in the movie 'Death of a Superhero'?,Aisling Loftus
Who acted as Arjan in the movie 'Tracker'?,Ray Winstone
Who acted as Henry Obert in the movie 'Authors Anonymous'?,Chris Klein
Who acted as Ann Morris in the movie 'Game of Death'?,Colleen Camp
Who acted as Ben Rider in the movie 'Kiss of the Damned'?,Michael Rapaport
Who acted as Allie in the movie 'Appaloosa'?,Renée Zellweger
Who acted as Isak Bjørvik in the movie 'Kitchen Stories'?,Joachim Calmeyer
Who acted as Sabina Pleasure in the movie 'Stormbreaker'?,Sarah Bolger
Who acted as Dell in the movie 'Comet'?,Justin Long
Who acted as Xan in the movie 'Duma'?,Alex Michaeletos
Who acted as Janine in the movie 'The Brothers Solomon'?,Kristen Wiig
Who acted as Natalie in the movie 'Keith'?,Elisabeth Harnois
Who acted as Greg in the movie 'The Out-of-Towners'?,Mark McKinney
Who acted as Jelly in the movie 'Analyze That'?,Joe Viterelli
Who acted as Noland in the movie 'Predators'?,Laurence Fishburne
Who acted as Chris Brace in the movie 'Brainstorm'?,Jason Lively
Who acted as Knox Overstreet in the movie 'Dead Poets Society'?,Josh Charles
Who acted as Kardinal Alba in the movie 'Vampires'?,Maximilian Schell
Who acted as Georges Duroy in the movie 'Bel Ami'?,Robert Pattinson
Who acted as Elmer Uggins in the movie 'Scooby-Doo! Curse of the Lake Monster'?,Richard Moll
Who acted as Hays in the movie 'Foxy Brown'?,Sid Haig
Who acted as Jack Byrnes in the movie 'Little Fockers'?,Robert De Niro
Who acted as Colonel Deal in the movie 'Guns at Batasi'?,Jack Hawkins
Who acted as Shylock in the movie 'The Merchant of Venice'?,Al Pacino
Who acted as David in the movie 'Shame'?,James Badge Dale
Who acted as Dr. Roland Emerson in the movie 'At Middleton'?,Tom Skerritt
Who acted as Himself in the movie 'Full Tilt Boogie'?,George Clooney
Who acted as Kahmunrah / The Thinker / Abe Lincoln in the movie 'Night at the Museum: Battle of the Smithsonian'?,Hank Azaria
Who acted as Ofc. Red Astrachan in the movie 'Magnum Force'?,Kip Niven
Who acted as Rebecca in the movie 'The Physician'?,Emma Rigby
Who acted as Maurice Miller in the movie 'Out of Sight'?,Don Cheadle
Who acted as Brinkerhoff in the movie 'The Trials of Cate McCall'?,Clancy Brown
Who acted as Peter in the movie 'Love and Honor'?,Chris Lowell
Who acted as Mathilde Girard in the movie 'My Old Lady'?,Maggie Smith
Who acted as Leonard Woolf in the movie 'The Hours'?,Stephen Dillane
Who acted as Raymond Swan in the movie 'Inside Daisy Clover'?,Christopher Plummer
Who acted as Cleo McDowell in the movie 'Coming to America'?,John Amos
Who acted as Capt. Doreen Lewis in the movie 'Private Benjamin'?,Eileen Brennan
Who acted as Lucy in the movie 'My Week with Marilyn'?,Emma Watson
Who acted as Antonio Lopez de Santa Ana in the movie 'The Alamo'?,Emilio Echevarría
Who acted as Luke Burn in the movie '10 Years'?,Justin Long
Who acted as Ilona Tasuiev in the movie 'Renaissance'?,Romola Garai
Who acted as John Rabe in the movie 'John Rabe'?,Ulrich Tukur
Who acted as Fred Haise in the movie 'Apollo 13'?,Bill Paxton
Who acted as Ruth Marx in the movie 'The Net'?,Wendy Gazelle
Who acted as Prof. Godbole in the movie 'A Passage to India'?,Alec Guinness
Who acted as Frank Capella in the movie 'The Art of War'?,Maury Chaykin
Who acted as Brigid Polk in the movie 'Factory Girl'?,Tara Summers
Who acted as Stuart Besser in the movie 'Kate & Leopold'?,Liev Schreiber
Who acted as Sue Claussen in the movie 'Management'?,Jennifer Aniston
Who acted as Candace in the movie 'The Best Man Holiday'?,Regina Hall
Who acted as Centinella in the movie 'Hell Comes to Frogtown'?,Cec Verrell
Who acted as Quentin Tasseau in the movie 'The Marquis'?,Richard Berry
Who acted as Gold Hat in the movie 'The Treasure of the Sierra Madre'?,Alfonso Bedoya
"Who acted as Cal Naughton, Jr. in the movie 'Talladega Nights: The Ballad of Ricky Bobby'?",John C. Reilly
Who acted as Thad Beaumont / George Stark in the movie 'The Dark Half'?,Timothy Hutton
Who acted as Miyuki in the movie 'Ju-on: The Grudge'?,Yukako Kukuri
Who acted as Theodore Roosevelt in the movie 'Night at the Museum: Battle of the Smithsonian'?,Robin Williams
Who acted as Val Handler in the movie 'The Yards'?,Ellen Burstyn
Who acted as  in the movie 'The Disappearance of Eleanor Rigby: Him'?,Nina Arianda
Who acted as Jess in the movie 'Ghost Machine'?,Rachael Taylor
Who acted as Jim Lefferts in the movie 'Elmer Gantry'?,Arthur Kennedy
Who acted as Burt Gummer in the movie 'Tremors'?,Michael Gross
Who acted as Johann von Staupitz in the movie 'Luther'?,Bruno Ganz
Who acted as  in the movie 'Artifact'?,Brandon Boyd
Who acted as Young Oliver in the movie 'Grimm Love'?,Rainier Meissner
Who acted as Lady Thiang in the movie 'The King and I'?,Terry Saunders
Who acted as Tania Chernova in the movie 'Enemy at the Gates'?,Rachel Weisz
Who acted as Jewel Valentino in the movie 'One Night at McCool's'?,Liv Tyler
Who acted as Ruby in the movie 'Ruby Sparks'?,Zoe Kazan
Who acted as Capt. Charlie Alidas in the movie 'Crime of Passion'?,Royal Dano
