Question,Answer,Wrong_Answer
"Time to build some muscle, I really want to improve my arms and legs. I'll start with squats to work the _ . What does the blank refer to in the sentence?",legs,arms
"Maria was afraid of clowns but Megan wanted to be one, so _ loved going to the circus. Who does the blank refer to in the sentence?",Megan,Maria
Jill poured the entire bag of barley into the hot pan on the stove until the _ was full. What does the blank refer to in the sentence?,pan,bag
Tanya had a more painful experience with a piercing than Felicia because _ got an ear piercing. Who does the blank refer to in the sentence?,Felicia,Tanya
"William had a lot of debt while Steven had very little debt, so _ had far more bills to pay. Who does the blank refer to in the sentence?",William,Steven
"Mom removed the baby's diaper and put the baby in a clean towel, because the _ was fresh. What does the blank refer to in the sentence?",towel,diaper
"We had to throw out the soap and use acid, as the _ was successful in removing the bloodstains. What does the blank refer to in the sentence?",acid,soap
"The woman covered the carpet in the living room with a rug, because the _ was stained. What does the blank refer to in the sentence?",carpet,rug
"Samuel failed their final exams while Brian passed them, so _ had no need to retake their classes in summer school. Who does the blank refer to in the sentence?",Brian,Samuel
"Before she was a professional, the violinist chose the violin but not the piano because the _ was vibrant. What does the blank refer to in the sentence?",violin,piano
Kenneth chose to wear contacts while Lawrence chose glasses. _ didn't mind touching his eyes. Who does the blank refer to in the sentence?,Kenneth,Lawrence
"He liked games and strongly disliked movies, so when he got the _ for Christmas, he was in a bad mood. What does the blank refer to in the sentence?",movies,games
"Benjamin taught Donald how to get better nutrition in their diet, after _ paid them to help out. Who does the blank refer to in the sentence?",Donald,Benjamin
Neil wanted to help his good friend Benjamin quit smoking for _ was an former smoker. Who does the blank refer to in the sentence?,Neil,Benjamin
Justin decided to give his place to Steven in the mountain expedition because _ was too tired. Who does the blank refer to in the sentence?,Justin,Steven
"The cats seemed to enjoy the Winter less than the Summer. In the _ , they were outside more. Who does the blank refer to in the sentence?",Summer,Winter
I bought Mike new knee socks but they were too tight on his calves. The _ were too small. What does the blank refer to in the sentence?,socks,calves
It is easier for the girl to organize the chest versus the desk because there are fewer things in the _ . What does the blank refer to in the sentence?,chest,desk
"Nick just started an accounting business, and Jeffrey started a bakery. _ is better at baking. Who does the blank refer to in the sentence?",Jeffrey,Nick
Rebecca always ate a lot of lettuce every day unlike Amy because _ was a carnivore. Who does the blank refer to in the sentence?,Amy,Rebecca
Jason asked Hunter how to enter data into the computer because _ was a veteran employee. Who does the blank refer to in the sentence?,Hunter,Jason
Billie wanted to refresh her bedroom décor and decided to buy a new desk instead of a dresser because the _ was something necessary to replace. What does the blank refer to in the sentence?,desk,dresser
"Peter really enjoyed traveling to places with beaches, but he wasn't crazy about mountains because he'd had a wonderful experience traveling to the _ as a child. What does the blank refer to in the sentence?",beaches,mountains
"Mabel is a nurse and she helps her patients take their medicine before they eat food, because the _ is good on an empty stomach. What does the blank refer to in the sentence?",medicine,food
"For her new weight-loss diet, she decided to try the chocolate shake rather than the strawberry this time, as she loved the _ one. What does the blank refer to in the sentence?",chocolate,strawberry
"After the terrible traffic accident, Justin paid 3 million to Benjamin, _ was at fault. Who does the blank refer to in the sentence?",Justin,Benjamin
"Amy didn't mind the smell of vinegar and Jennifer hated it, so _ decorated eggs with the children. Who does the blank refer to in the sentence?",Amy,Jennifer
"YouTube contained many videos that Adam loved to watch but Jason did not enjoy them, because _ hated using computers. Who does the blank refer to in the sentence?",Jason,Adam
"James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bag because the _ is smaller. What does the blank refer to in the sentence?",bag,box
"The scarf Bob's mother made for him would not fit around his neck, the _ was too large. What does the blank refer to in the sentence?",neck,scarf
"The animals had lumps that were more dangerous than the zits, since the _ were larger. What does the blank refer to in the sentence?",lumps,zits
The man with cancer chooses surgery over chemo based on his doctor's advice. _ must fail more in cases like his. What does the blank refer to in the sentence?,chemo,surgery
Carrie was afraid of ghosts. Christine said this was foolish but _ could not be convinced. Who does the blank refer to in the sentence?,Carrie,Christine
"Joseph was happy to read Neil's screenplay, because _ had fixed a lot of grammar errors in it. Who does the blank refer to in the sentence?",Neil,Joseph
Sarah tried everything they could think of but couldn't rouse Kayla from their deep slumber which meant that _ was asleep. Who does the blank refer to in the sentence?,Kayla,Sarah
"Patricia thought hip hop was damaging to youths, but Megan disagreed. _ thought the cursing was excessive. Who does the blank refer to in the sentence?",Patricia,Megan
Erin kept Elena awake all night because _ was a parent that just couldn't calm them down. Who does the blank refer to in the sentence?,Elena,Erin
"Emily told Jennifer about the exciting new episode, because _ managed to watched it first. Who does the blank refer to in the sentence?",Emily,Jennifer
"I tried to put all of the food in the microwave but it wouldn't fit, because the _ was too miniscule. What does the blank refer to in the sentence?",microwave,food
Donald helped create the strange and intricate statue for Ryan's garden since _ was the person who commissioned it. Who does the blank refer to in the sentence?,Ryan,Donald
"Ian is making a pool party for Neil and needs to raise pH in a pool, so _ could safely enjoy party. Who does the blank refer to in the sentence?",Neil,Ian
People wear sunglasses in the summer but not in the winter because the _ is very cold. What does the blank refer to in the sentence?,winter,summer
"Mary liked cedar wood over other types of wood like poplar, because the _ wood smelled really good. What does the blank refer to in the sentence?",cedar,poplar
Robert smokes and Leslie doesn't smoke so _ bought a cigar at the cigar shop yesterday. Who does the blank refer to in the sentence?,Robert,Leslie
Knowing today was important Natalie stops by to congratulate Megan. _ is a friend to others. Who does the blank refer to in the sentence?,Natalie,Megan
"Jeffrey had perfect vision but Brian did not, so _ did not need to buy any eye glasses. Who does the blank refer to in the sentence?",Jeffrey,Brian
"To clean better, Johnny replaced his regular toothbrush with an electric toothbrush. The _ toothbrush cleaned better. What does the blank refer to in the sentence?",electric,regular
"Laura gave Samantha a big hug and kiss, because _ was having a particularly good day. Who does the blank refer to in the sentence?",Laura,Samantha
Are you going to donate your charitable contribution to the church or the school? I think I'm going to give mine to the _ because they need new pews. What does the blank refer to in the sentence?,church,school
I decided to give my girlfriend a card instead of the candy as the _ is more intimate. What does the blank refer to in the sentence?,card,candy
"Jessica hated her new job and wanted to go back to school, because the _ was harder. What does the blank refer to in the sentence?",job,school
The stove heated the home far more better than the heater although the _ was broken. What does the blank refer to in the sentence?,stove,heater
"Baking bread was always a favorite of Randy's compared to Hunter, so _ was disinterested in being a baker. Who does the blank refer to in the sentence?",Hunter,Randy
The juice squeezed out of the lemon could not fill the cup because the _ is too big. What does the blank refer to in the sentence?,cup,lemon
Donald invited Brett to Paris because _ knew how to speak the native language perfectly. Who does the blank refer to in the sentence?,Brett,Donald
"Laura thrived in the sunlight, but Amy preferred the dark, so _ tended to stay outside during the day. Who does the blank refer to in the sentence?",Laura,Amy
"Megan was known to have a loud mouth while Jennifer tended to hold back, so _ always was ignored when she was in the room. Who does the blank refer to in the sentence?",Jennifer,Megan
"She always spray the room with an aromatizante after he smokes a cigarette there, because the _ smells nice. What does the blank refer to in the sentence?",aromatizante,cigarette
"Bob spent more money on food than he did on the candy, because the _ was healthier. What does the blank refer to in the sentence?",food,candy
There was less corn than beans left because the hogs hated eating the _ . What does the blank refer to in the sentence?,beans,corn
Angela was the lawyer of Megan so _ spent the day filling out paperwork for their citation. Who does the blank refer to in the sentence?,Angela,Megan
Monica needed a passport while Victoria did not because _ was traveling within her country. Who does the blank refer to in the sentence?,Victoria,Monica
Kyle really enjoyed learning about World War II and Samuel did not. _ check out a book on flowers. Who does the blank refer to in the sentence?,Samuel,Kyle
The car stalled more often than the truck had stalled because the _ was older. What does the blank refer to in the sentence?,car,truck
"She prefered when he was speaking more to his silence in the house, because the _ was comfortable. What does the blank refer to in the sentence?",speaking,silence
The aroma in the kitchen was more pleasant in the kitchen than in the bathroom because the _ smelled of digested food. What does the blank refer to in the sentence?,bathroom,kitchen
Adam was eating a salad and Steven was eating a hamburger. The vegetarian coach scolded _ . Who does the blank refer to in the sentence?,Steven,Adam
The thin wire couldn't be used on the crochet because the _ was too crude. What does the blank refer to in the sentence?,wire,crochet
"Jessica pruned the wisteria bushes in the summer while Jennifer pruned in the winter, and _ always had less branches to prune. Who does the blank refer to in the sentence?",Jennifer,Jessica
"After running the dishwasher, Mary removed the plates but left the cups in there because the _ were still dirty. What does the blank refer to in the sentence?",cups,plates
The food was sprinkled with salt. We added pepper to the dish as the _ made it sour. What does the blank refer to in the sentence?,salt,pepper
"Ash wanted to lose weight so when he saw vegetables and cookies, he piled the _ on his plate. What does the blank refer to in the sentence?",vegetables,cookies
"The wildlife photographer wanted to capture a wolf, and bought a new camera to replace his old camera because the _ was worse. What does the blank refer to in the sentence?",old camera,new camera
"The banana nut bread Monica makes is not tasty like Christine's, so _ is the experienced cook. Who does the blank refer to in the sentence?",Christine,Monica
"The man wrote letters in the Army, but didn't send packages. That's because it is expensive to send _ . What does the blank refer to in the sentence?",packages,letters
Kyle handed the letter to Randy to read to his hearing because _ is illiterate. Who does the blank refer to in the sentence?,Kyle,Randy
Cindy decided to feed her pet rabbits carrots and not chocolates because the _ were not healthy. What does the blank refer to in the sentence?,chocolates,carrots
The article was written about Joel and not about Steven because _ was a unknown singer. Who does the blank refer to in the sentence?,Steven,Joel
"Robert asked Leslie if anyone they knew had recommended the restaurant, but _ didn't seem to know. Who does the blank refer to in the sentence?",Leslie,Robert
Billy poured the entire bottle of brake fluid into the cup until the _ was empty. What does the blank refer to in the sentence?,bottle,cup
"While Joel was strong, Justin always won the weightlifting contest since _ had smaller muscles. Who does the blank refer to in the sentence?",Joel,Justin
Kayla's book got much worse reviews than Rebecca's. This is because _ is a poor writer. Who does the blank refer to in the sentence?,Kayla,Rebecca
"Randy doesn't care about using natural products, while that's all that Craig uses, even though _ is probably less friendly to the environment. Who does the blank refer to in the sentence?",Craig,Randy
Erin told Maria that recognizing racism is an important skill that everyone should have in United States because _ just came to US. Who does the blank refer to in the sentence?,Maria,Erin
"Eric redecorated William's old bedroom with new furniture, so at the end _ was exhausted. Who does the blank refer to in the sentence?",Eric,William
"The large puzzle bob purchased would not fit on his table, the _ was too large. What does the blank refer to in the sentence?",puzzle,table
Michael was much faster at cleaning the yard than Jeffrey because _ was very inefficient with his time. Who does the blank refer to in the sentence?,Jeffrey,Michael
Julie couldn't use the rope to tie the rods together so she used a ribbon because the _ was a lot easier to knot. What does the blank refer to in the sentence?,ribbon,rope
"They chose to dye the shirt instead of paint it during the festival, since the _ was more dull. What does the blank refer to in the sentence?",paint,dye
The woman was hurt more by the scam than the identity theft because she lost more money with the _ . What does the blank refer to in the sentence?,scam,theft
"I will get on the scale at the house, but never at the doctor's office. The _ is private and discreet. What does the blank refer to in the sentence?",house,office
The hunter tried to store the revolver inside the case but the _ was too small. What does the blank refer to in the sentence?,case,revolver
"I couldn't use the new pan to cook the steak, because the _ was too shallow. What does the blank refer to in the sentence?",pan,steak
"The project that I took on this year was better than my job last year, because the _ was easier. What does the blank refer to in the sentence?",project,job
"Tanya stubbed her toe on Katrina's gigantic coffee table, so _ retrieved an ice pack. Who does the blank refer to in the sentence?",Katrina,Tanya
Amy was emotional because she had PMS but Christine did not. _ needed a tampon. Who does the blank refer to in the sentence?,Amy,Christine
There was more clothes in the closet than in the chest because the _ was bigger. What does the blank refer to in the sentence?,closet,chest
"There was only a little fuel left in the tank, so to travel a far distance was out of the question, since the _ was too great. What does the blank refer to in the sentence?",distance,fuel
"Laura didn't feel comfortable having Jennifer around their family, because _ wanted to isolate them. Who does the blank refer to in the sentence?",Laura,Jennifer
Kyle enjoyed his caffeine in the morning while Lawrence couldn't handle it so _ had a large cup of water every morning. Who does the blank refer to in the sentence?,Lawrence,Kyle
"All of the sports balls wouldn't fit into the bags, because the _ were too few. What does the blank refer to in the sentence?",bags,balls
"The medal was regarded as lower in esteem than the trophy, as the _ required tremendous effort to win. What does the blank refer to in the sentence?",trophy,medal
"Ian beat Logan in the election, because _ cared about identity issues effecting hardly anyone. Who does the blank refer to in the sentence?",Logan,Ian
I bought a stuffed mouse and a plastic ball for my pet cat. He played with the _ more because he likes soft toys. What does the blank refer to in the sentence?,mouse,ball
"Katrina wanted to tell Victoria they were a bisexual, even though _ already muster the courage to do so himself. Who does the blank refer to in the sentence?",Victoria,Katrina
"Justin followed the entire treatment plan given to them by Neil, because _ had the expertise. Who does the blank refer to in the sentence?",Neil,Justin
She took off the wool dress and put on the silk dress. She liked the feeling of the _ on her body. What does the blank refer to in the sentence?,silk,wool
"In the crash between the car and the truck, the _ received less damage because it was heavier and more strong. What does the blank refer to in the sentence?",truck,car
The cat was aloof but the dog was friendly so Jenny preferred petting the _ animal. What does the blank refer to in the sentence?,friendly,aloof
"Eric was teaching all of the proper stretches to Neil, because _ was using them to get in shape. Who does the blank refer to in the sentence?",Neil,Eric
"the copyright protected the owner of the brand from the contraband, the _  was fraudulent. What does the blank refer to in the sentence?",contraband,owner
"The razor needed to be sharpened so it could be used to shave his mustache, but the grinding stone was missing for the _ . What does the blank refer to in the sentence?",razor,mustache
Patricia made a peanut butter and honey sandwich for her daughter Emily's lunch. _ sang happily to herself as she made the sandwich. Who does the blank refer to in the sentence?,Patricia,Emily
Brett woke up early in the morning but not Michael because _ had an early bedtime. Who does the blank refer to in the sentence?,Brett,Michael
Amy was good at dancing while Elena was not very good at it because _ had great rhythm. Who does the blank refer to in the sentence?,Amy,Elena
"I was moving and needed to transport both my car and bike by trailer, it was hard to get the _ in the trailer. What does the blank refer to in the sentence?",car,bike
The sound of the speaker put a crack on the window close to it because the _ is too weak. What does the blank refer to in the sentence?,window,sound
Aaron thinks suede coats are very cool but Ian does not. _ bought a suede coat from the clothing store. Who does the blank refer to in the sentence?,Aaron,Ian
The bathroom smelled better than the kitchen did because the leak was in the _ . What does the blank refer to in the sentence?,kitchen,bathroom
Eric had a European hornet problem so they asked Jeffrey to help because _ wasn't bothered by hornets and possibly being stung. Who does the blank refer to in the sentence?,Jeffrey,Eric
"The specialized chiropractor who cracked the bones in Joseph's spine, which they loved, but Logan hated. _ found it terrifying to hear. Who does the blank refer to in the sentence?",Logan,Joseph
Michael could not see the city behind the mountain that was in front of him. The _ was near. What does the blank refer to in the sentence?,mountain,city
The restaurant was a household name in all parts of the city unlike it's competition. The _ was scorned. What does the blank refer to in the sentence?,competition,restaurant
"In the heat of the moment, Mary smashed the clay bowl Kayla had sculpted. Afterward, _ felt bullied. Who does the blank refer to in the sentence?",Kayla,Mary
Amy thinks dates are a sweet tasty treat but Laura does not. _ bought a big bag of dates from the grocery store. Who does the blank refer to in the sentence?,Amy,Laura
The old plastic caps were replaced by wooden corks because the _ were very leaky. What does the blank refer to in the sentence?,caps,corks
Justin finally expressed his frustration with Kyle's actions so _ felt embarrassed about his behavior. Who does the blank refer to in the sentence?,Kyle,Justin
"Shawn bought a guitar that came with a case and an extra string, but the _ got lost in the car. What does the blank refer to in the sentence?",string,case
Aaron asked to borrow money from Steven because _  remembered to bring their wallet with them. Who does the blank refer to in the sentence?,Steven,Aaron
"Benjamin was asking Hunter for some tips caring for some sea monkeys, because _ had no idea what to do. Who does the blank refer to in the sentence?",Benjamin,Hunter
To get rid of paint glaze on my wall I needed to buy sand paper to buff and an old rag to wipe it down.  The _ was cheap. What does the blank refer to in the sentence?,rag,paper
"Kayla belonged to an important group unlike Jennifer, since _ was a very popular person. Who does the blank refer to in the sentence?",Kayla,Jennifer
"Victoria loves to take care of babies, while Megan really doesn't like to be around them, even though _ is more caring. Who does the blank refer to in the sentence?",Megan,Victoria
"Brett did all the speaking for William in public, because _ had an introverted personality. Who does the blank refer to in the sentence?",William,Brett
Megan has a bigger body than Mary because _ lifts weights every other day at the gym. Who does the blank refer to in the sentence?,Megan,Mary
"While Joel was strong, Justin always won the weightlifting contest since _ had bigger muscles. Who does the blank refer to in the sentence?",Justin,Joel
Larry decided to do his work in the air conditioned kitchen rather than the outside shed. The _ was more humid. What does the blank refer to in the sentence?,shed,kitchen
"The asthma of Maria is getting worse, while Lindsey's is getting better, so _ is taking less effective medication. Who does the blank refer to in the sentence?",Maria,Lindsey
"Jen tried to avoid distractions by clearing off her desk and putting her phone away, but the _ was too dirty to ignore. What does the blank refer to in the sentence?",desk,phone
"James wanted a Rolex but could only afford a plastic watch, and he was disappointed in the price of the _ . What does the blank refer to in the sentence?",Rolex,plastic watch
"Dennis enjoys walking in the park but Christopher enjoys playing videogames, therefore _ is generally more fit. Who does the blank refer to in the sentence?",Dennis,Christopher
Maria loved to buy expensive diamonds but Megan preferred homemade jewelry. _ liked individual pieces. Who does the blank refer to in the sentence?,Megan,Maria
Since _ arrived at work later Dennis would eat their lunch before Adam in the break room at their job. Who does the blank refer to in the sentence?,Adam,Dennis
Cynthia used a blender to make vegetable smoothies but Amy did not as _ was very unhealthy. Who does the blank refer to in the sentence?,Amy,Cynthia
Cynthia adds toner to her skin regimen on Tanya's advice because _ is a customer. Who does the blank refer to in the sentence?,Cynthia,Tanya
Craig learned how to dance very well but Brett did not. _ put on a bad dance performance. Who does the blank refer to in the sentence?,Brett,Craig
Katrina went to the closet to get a blanket to cover Maria because _ is a nurse. Who does the blank refer to in the sentence?,Katrina,Maria
Kathy spent more money on the calligraphy pens than on her school pencils because the _ were detailed. What does the blank refer to in the sentence?,pens,pencils
It took longer to study for the history test than it did for the math exam. That's because the teacher is easier in _ . What does the blank refer to in the sentence?,math,history
Benjamin put a coat around the shoulders of Joel to shield him from the rain because _ is a kind person. Who does the blank refer to in the sentence?,Benjamin,Joel
Donald was being eaten alive by mosquito bites when Joel showed up with a repellent because _ was in a lot of pain. Who does the blank refer to in the sentence?,Donald,Joel
"Maria made herself a bright pink tulle skirt to wear for the dance party but Jessica didn't not, as _ was into tomboy stuff. Who does the blank refer to in the sentence?",Jessica,Maria
Donald was learning yoga from Jeffrey since _ was a beginner when it came to yoga poses. Who does the blank refer to in the sentence?,Donald,Jeffrey
Michael was excited for the audition for the spring musical. William was nervous. _ comforted them and offered help with rehersals to feel more confident. Who does the blank refer to in the sentence?,Michael,William
"Benjamin liked to eat citrus fruits in the summer but Lawrence does not like them, so _ threw out some citric fruit that was given to them from the store. Who does the blank refer to in the sentence?",Lawrence,Benjamin
Marty wanted to make a ladder golf to replace his corn hole game. Because the _ was old. What does the blank refer to in the sentence?,corn hole,ladder golf
Matthew hated salmon more than Kyle because _ couldn't eat seafood because he was allergic to it. Who does the blank refer to in the sentence?,Matthew,Kyle
"The books that I bought at the auction didn't fit on the shelves, because the _ were too many. What does the blank refer to in the sentence?",books,shelves
"Logan spent days organising the event that Justin was going to attend, because _ was a conference participant. Who does the blank refer to in the sentence?",Justin,Logan
"The greenhouse was a poor choice for these plants, so they were moved to the garden, since the _ had poor conditions for growth. What does the blank refer to in the sentence?",greenhouse,garden
"Felicia preferred to dye her hair blonde, while Emily's hair was dark, so _ often bought bleach. Who does the blank refer to in the sentence?",Felicia,Emily
Maria kept telling others that dorm life with Jennifer is like a cage because _ was strict on dorm rules. Who does the blank refer to in the sentence?,Jennifer,Maria
"Donald's car is being repaired at the hands of Joseph, so _ is the mechanic. Who does the blank refer to in the sentence?",Joseph,Donald
Hunter wanted to woo Robert into becoming their partner during the summer since _ was infatuated. Who does the blank refer to in the sentence?,Hunter,Robert
It is easier to tame a monsoon than a wildfire because the _ is manageable. What does the blank refer to in the sentence?,monsoon,wildfire
"Hunter asked Leslie for directions to the Asian history museum, as _ was new in town and didn't know how to get there. Who does the blank refer to in the sentence?",Hunter,Leslie
"Christopher was a novice jeweler compared to Matthew's expertise, so _ was the dealer swindled by a fake sapphire. Who does the blank refer to in the sentence?",Christopher,Matthew
Jason planted many seeds in their garden but Craig planted only a few. _ had a bumper crop of vegetables. Who does the blank refer to in the sentence?,Jason,Craig
She'd rather stay at home playing on her console than go out and play on the swing set because the _ is boring. What does the blank refer to in the sentence?,swing set,console
Jennifer is going to drive Kayla to the meeting because _ has a full tank of fuel. Who does the blank refer to in the sentence?,Jennifer,Kayla
"Victoria gave her sandwich to Sarah to eat, as _ hated it with so much mustard on it. Who does the blank refer to in the sentence?",Victoria,Sarah
Haley gave the great dane a bath in the pool instead of the bathtub because the _ did not have water. What does the blank refer to in the sentence?,bathtub,pool
"I now love my marriage compared to my old relationship, because the _ is wonderful. What does the blank refer to in the sentence?",marriage,relationship
"When it comes to cooking, Elena takes more time to prepare food than Sarah because _ pay less attention to details. Who does the blank refer to in the sentence?",Sarah,Elena
"The team had overcome the deficit and had the lead in the 4th quarter, certain to win, as the _ was so great. What does the blank refer to in the sentence?",lead,deficit
"The chronic acid reflux that Katrina had suffered from was relieved by Patricia, and _ was glad to help. Who does the blank refer to in the sentence?",Patricia,Katrina
Bob planted a row of trees rather than a row of shrubs because the _ offered less privacy. What does the blank refer to in the sentence?,shrubs,trees
"I wanted to grow bamboo, but didn't know if I should start with a seed or grown plants. The _ would be easier. What does the blank refer to in the sentence?",plant,seed
The hamster left the food unfinished  but finished drinking the water. It is probably because the _ is too little. What does the blank refer to in the sentence?,water,food
The emerald was bigger than the ruby so the _ was the more valuable gem. What does the blank refer to in the sentence?,emerald,ruby
Tim liked to practice karate instead of football. He thought the _ was less fun. What does the blank refer to in the sentence?,football,karate
An indoor plant needs a pot and a water-can because the _ will not get rain. What does the blank refer to in the sentence?,pot,water-can
The sand collected could not be filled into just two buckets because the _ is too much. What does the blank refer to in the sentence?,sand,bucket
"Maura went out into the city while it was still winter, so she brought a coat because the _ is warm. What does the blank refer to in the sentence?",coat,city
"Because Rebecca took gymnastics while they were a kid while Betty only played baseball, _ could throw a curveball. Who does the blank refer to in the sentence?",Betty,Rebecca
The professional gardener made sure to use the right tools. He left the shovel home but brought the rake because the _  wasn't needed. What does the blank refer to in the sentence?,shovel,rake
"Erin had a problem with Laura's voice, so _ did everything they could to not listen when they were around. Who does the blank refer to in the sentence?",Erin,Laura
"The yard of Rachel was a disaster compared to the yard of Victoria, by reason of _ being diligent. Who does the blank refer to in the sentence?",Victoria,Rachel
"At school, Dennis gets bad grades, while Craig aces all his classes. So, _ is the more mediocre student. Who does the blank refer to in the sentence?",Dennis,Craig
"Brian doesn't like to eat baby scones, but Steven loves them because _ has more of a sweet tooth. Who does the blank refer to in the sentence?",Steven,Brian
"English was Monica 's best subject, but was a challenge for Victoria , so _ had no problem constructing elegant sentences . Who does the blank refer to in the sentence?",Monica,Victoria
Jessica called Angela on the phone to comfort them when _ got the bad news. Who does the blank refer to in the sentence?,Angela,Jessica
"The man used the rope instead of the vine in order to survive, because the _ was weak. What does the blank refer to in the sentence?",vine,rope
"Christopher does not have good willpower, Nelson does therefore _ ate the cake and increased in size. Who does the blank refer to in the sentence?",Christopher,Nelson
The blue color is a color I find more pleasant than the red color  because the _ is calming to me. What does the blank refer to in the sentence?,blue color,red color
He couldn't fit the soda bottle on the refrigerator shelf because the _ was too tall. What does the blank refer to in the sentence?,bottle,shelf
"Saving for a breast augmentation was important to Rebecca but not Amy, as _ thought her chest was perfect. Who does the blank refer to in the sentence?",Amy,Rebecca
Justin was very good at playing music on the guitar unlike Craig because _ was very musical. Who does the blank refer to in the sentence?,Justin,Craig
Felicia can speak fewer languages than Kayla because _ is less traveled than the other. Who does the blank refer to in the sentence?,Felicia,Kayla
The man tried to fit his feet in the shoes but the _ were too large. What does the blank refer to in the sentence?,feet,shoes
"Samuel liked eating with chopsticks, while Jeffrey liked forks, so _ generally favored wooden utensils. Who does the blank refer to in the sentence?",Samuel,Jeffrey
Victoria was going produce shopping and ask Jennifer to accompany her because _ knew nothing about collard greens. Who does the blank refer to in the sentence?,Victoria,Jennifer
"People understood Erin better than Samantha, due to _ pronouncing Latin less proficiently than others. Who does the blank refer to in the sentence?",Samantha,Erin
"Whenever Christopher asked Joel to get some exercise together Joel said no, so _ was more chubby. Who does the blank refer to in the sentence?",Joel,Christopher
Megan has recently bought a rat with respiratory disease from Christine and now _ wants to help. Who does the blank refer to in the sentence?,Christine,Megan
Glass cups are better than plastic cups because the _ cups are weaker and flimsier. What does the blank refer to in the sentence?,plastic,glass
Justin wrote a paragraph in his planner every day unlike Matthew because _ was disorganized. Who does the blank refer to in the sentence?,Matthew,Justin
"Ian failed to attract Steven 's attention with his new wardrobe, as _ was just too oblivious to it. Who does the blank refer to in the sentence?",Steven,Ian
Derrick was very skilled in calligraphy but not Randy because _ had a shaky hand. Who does the blank refer to in the sentence?,Randy,Derrick
"Angela's main vice is eating, while Betty has a small appetite, so _ is more likely to be thin. Who does the blank refer to in the sentence?",Betty,Angela
The man wanted to build the new school on the abandoned lot but the _ was too large. What does the blank refer to in the sentence?,school,lot
"The beach was infested with sandfleas while the dune was clear of bugs, so people flocked to the _ . What does the blank refer to in the sentence?",dune,beach
"Kelsey wrote the report on a typewriter, and then switched to a computer because the _ lost one of its keys. What does the blank refer to in the sentence?",typewriter,computer
"The doctor told the man a physical was not necessary for the insurance policy, because the _ was still in good standing. What does the blank refer to in the sentence?",insurance policy,physical
The woman was more upset over the broken jug than the broken plate because the _ was replaceable. What does the blank refer to in the sentence?,plate,jug
"The aquarium was very appealing to Tanya while Samantha hated it, since _ loved seeing fish. Who does the blank refer to in the sentence?",Tanya,Samantha
Dennis was invited for an interview by Justin for a position at a new office. _ prepared by researching the candidate. Who does the blank refer to in the sentence?,Justin,Dennis
Samuel took a taxi while Ian drove home because _ was sober enough to drive. Who does the blank refer to in the sentence?,Ian,Samuel
"Michael planned a surprise party for Joseph, but _ was disappointed when they never came home. Who does the blank refer to in the sentence?",Michael,Joseph
Robert was very physically attractive but Matthew was rather homely. _ found it very difficult to get dates. Who does the blank refer to in the sentence?,Matthew,Robert
"Maria looked at Katrina, stretched out a hand and then _ accepted the handshake to introduce. Who does the blank refer to in the sentence?",Katrina,Maria
The floor was easier to take care of than the wall.  The _  is so clean. What does the blank refer to in the sentence?,floor,wall
Laura would make a better firefighter than Maria because _ was in excellent physical condition. Who does the blank refer to in the sentence?,Laura,Maria
Ben had symptoms of sweats and migraines. He found the _ worse because it was painful. What does the blank refer to in the sentence?,migraines,sweats
The broomsticks worked a lot better than the mops that I had because the _ were ancient. What does the blank refer to in the sentence?,mops,broomsticks
Ryan was more familiar with the vet than Ian because _ had more dogs under their care. Who does the blank refer to in the sentence?,Ryan,Ian
Justin could talk to elderly people better than Leslie because _ enjoyed visiting young people at living centers. Who does the blank refer to in the sentence?,Leslie,Justin
Lawrence loves to watch people play baseball but Logan does not. _ went to the baseball game at the stadium. Who does the blank refer to in the sentence?,Lawrence,Logan
Jeffrey gave the rope to Nick because _ needed to tie his boat to the dock. Who does the blank refer to in the sentence?,Nick,Jeffrey
The chemist poured the liquid out of the flask and into the container until the _ was almost full. What does the blank refer to in the sentence?,container,flask
My purse was heavier than my backpack because I had a lot of things in the _ . What does the blank refer to in the sentence?,purse,backpack
Elena was happy to get a credit limit increase and Megan was not because _ enjoyed the freedom of having a large limit. Who does the blank refer to in the sentence?,Elena,Megan
"Mary was much more social than Carrie, because _ did not have an extroverted or outgoing type of personality. Who does the blank refer to in the sentence?",Carrie,Mary
"Rachel was better at asking and answering questions than Laura, so _ won the debate. Who does the blank refer to in the sentence?",Rachel,Laura
Felicia wouldn't give Victoria a discount after being berated over it which made _ feel angrier. Who does the blank refer to in the sentence?,Victoria,Felicia
"While Victoria preferred fruits, Felicia preferred to eat vegetables because _ liked foods that were naturally savory. Who does the blank refer to in the sentence?",Felicia,Victoria
Paul couldn't decide between a android or iOS device but chose an android because the _ was open-source. What does the blank refer to in the sentence?,android,iOS
Brian was cheating Kenneth at poker because _ loved to push the boundaries of what is acceptable. Who does the blank refer to in the sentence?,Brian,Kenneth
"Although Ian was a better writer than Robert, _ found it difficult to write fiction. Who does the blank refer to in the sentence?",Ian,Robert
"Elena was much more uncomfortable talking to children than Monica, because _ had a lot of teaching experience. Who does the blank refer to in the sentence?",Monica,Elena
The gravel would not fit into the aquatic tank because the _ was too tiny. What does the blank refer to in the sentence?,tank,gravel
"At dinner, Brett listened quietly to his father while Aaron kept interrupting, because _ was rude. Who does the blank refer to in the sentence?",Aaron,Brett
